index,name,lyric
,alin-yazim,"[""Allah baba'nın mürekkebi bitmedi mi benim alnımı yazarken?"", 'Ya da nasıl kırılmadı kalemi?', 'O zaman alfabeler beş harfli miydi?', 'Yalnız senin ismin mi kolay geldi tanrıya?', 'Yeşiller nerdeydi?', 'Pembeler yok muydu?', 'Toz maviler, beyazlar?', ' Fon kara,', 'Yazı kara,', 'Benden başka okuyanı olmayan sayfa, kaderim..']"
,aliverin-baglamami-calayim,"['Alıverin bağlamamı çalayım', 'Çalayım da zarı zarı ağlayım', 'Bir mendil ver gözyaşımı sileyim', ' Ağlaya ağlaya gözlerime kan doldu', 'Siyah da zülfün penbe yanak üstüne bend oldu', ' Kahve olsam dolaplarda kavrulsam', 'Toz duman olsam dağ başında savrulsam', 'Kemer olsam yar beline sarılsam', ' Ağlaya ağlaya gözlerime kan doldu', 'Siyah da zülfün penbe yanak üstüne bend oldu']"
,anladim-sevmeyeceksin,"['Anladım sevmeyeceksin beni sen nazlı çiçek', 'Hasta gönlüm yine hicrânını yalnız çekecek', 'Bil ki rûhum seni çılgınca severken ölecek', 'Yine sensin beni bir lâhza şifâyâb edecek', '']"
,anladimki-daha-dolmamis-cilem,"['NİHAVEND\t\t\t\t\t\t\tDÜYEK', 'Anladım ki daha dolmamış çilem', 'Her günüm izdi rap, her günüm elem', 'İçim kan ağlıyor inan ki hiç gülemem', 'Her günüm ızdırap, her günüm elem', ' SUAT SAYIN', '']"
,anlatilmaz-bin-dert-ile,"['Anlatılmaz bin dert ile geçiyor ömrüm', 'Bir vefasız kederinden eriyor garip gönlüm', 'Şu simsiyah geceler mi acep ben mi öksüzüm', 'Bir vefasız kederinden eriyor garip gönlüm', '']"
,annem,"['Mazide kalan hatıra gibi', 'Şevkatli kollarını aç bana anne', 'Geceler çok soğuk, sessiz ve karanlık', 'Üşüdüm, üstümü örtsene anne', ' Anne, anne, anneciğim', ' Yanımda olmanı ne çok isterdim', 'Dizine yatıpta uyurdum anne', 'Dilimde dua gözümde rüyasın', 'Seni çok istedim hasretim anne', ' Anne, anne, anneciğim', ' Uyandım uykudan aradım seni', 'Sağıma soluma bakındım anne', 'Geceler çok soğuk, sessiz ve karanlık', 'Üşüdüm, üstümü örtsene anne', ' Anne, anne, anneciğim...']"
,aradigim-dunya,"['Benim dünyamda kar buğday buğday yağar', 'Kış ortası çiçeklenirdi dallarımız', 'Benim dünyamda poyrazlar ılık eserdi kuzeyden', 'Teşrimde yeşil erik sokaklarda', 'Benim dünyamda', 'Aşk vefa çarşıda satılırdı', 'Merhamet pazartesi perşembe sergilerde', 'Değiştirdim o dünyayı', 'Bu dünyada baktım hiçbiri yok', 'Değiştireceğim bu dünyayı da..']"
,ararim-seni-hergun,"['Ararım seni hergün güzel', 'Tez gel yaban ellerden', 'Beklerim yolunu günlerce', 'Ah aman aman hey', ' Özledim o gül yüzünü', 'Beklerim bir çift sözünü', 'Esirgeme benden yüzünü', 'Ah aman aman hey', '']"
,arim-balim-petegim,"['Gözyaşım şarap olsa', 'Gençliğim harap olsa', 'Her günüm azab olsa', 'Yine seni seveceğim..', ' Arım,balım,peteğim', 'Gülüm,dalım,çiçeğim', 'Bilsem ki öleceğim', 'Yine seni seveceğim..', ' Ne emelim ne arzum', 'Kalmasa tek umudum', 'Erisem yudum yudum', 'Yine seni seveceğim..', ' Arım,balım,peteğim', 'Gülüm,dalım,çiçeğim', 'Bilsem ki öleceğim', 'Yine seni seveceğim..']"
,artik-seni-sevemem,"['Artık seni sevemem', 'Yalvarsan da gelemem', 'Sen suçunu bilirsin', 'Sorma sakın, söylemem', ' Yeni bir aşk arıyorum', 'Haberin olsun', 'Beni bu hale koyan', ""Allah'tan bulsun"", ' Kader böyle istedi', 'Elimden ne gelirdi', 'Çekil artık yolumdan', 'Aşkımız burada bitti', ' Yeni bir aşk arıyorum', 'Haberin olsun', 'Beni bu hale koyan', ""Allah'tan bulsun""]"
,asmalarda-kol-uzatmis,"['Asmalar Da (Aman) Kol Uzatmış Dallere', '(Dallere Hele Dallere)', 'Sen Düşürdün (Aman) Beni Halden Hallere', '( Hele Hallere Vay)', ' Asmalar Da (Aman) Kol Uzatmış Engine', '(Engine Hele Hele Engine)', 'Şimdi Rağbet (Aman) Güzel İle Zengine', '(Hele Hele Zengine Vay)', ' Asmalar Da (Aman) Kol Uzatmış incire', '(İncire Hele Hele İncire)', 'İkimizi (Aman) Bir Sarsınlar Zincire', '(Hele Hele Zincire Vay)']"
,ask-rusveti,"['Muskalar yazdırdım kurşun döktürdüm', 'Adaklar adadım fallar baktırdım', 'Mısralar dizdirdim türkü yaktırdım', 'Bağlanan gönlümü çözdüremedim', ' Zincirleri vurdum bütün zevklere', 'Yol ettin kalbimi derde kedere', 'Rüşvet diye ömür verdim kadere', 'Bağlanan gönlümü çözdüremedim', ' Her derde katlandım hiç sızlanmadım', 'Her cefayı çektim hiç nazlanmadım', 'Her gün aldatıldım ben uslanmadım', 'Bağlanan gönlümü çözdüremedim', ' Zincirleri vurdum bütün zevklere', 'Yol ettim kalbimi derde kedere', ' Rüşvet diye ömür verdim kadere', 'Bağlanan gönlümü çözdüremedim...']"
,ask-yalanmis,"['Senelerce aşkı anmış', 'Mahzun kalpler hep ağlarmış', 'Gül dudaklarda sararmış', 'Diyorlar ki aşk yalanmış', ' Kimi siyah göze kanmış', 'Kimi kumral saça yanmış', 'Tutulanlar hep aldanmış', 'Diyorlar ki aşk yalanmış', ' Aşkı o kız oyun sanmış', 'Hem aldatmış, hem aldanmış', 'En sonunda yalnız kalmış', 'Diyorlar ki aşk yalanmış']"
,aska-gonul-vermem,"['Aşka gönül vermem aşka inanmam', 'Yıllarca boş yere ağlayıp yanmam', ' Böyle bir arzuya meyledip kanmam', ' Unut sevme beni', 'Bu aşkın sonu', 'Ne yazık ki hicran', 'Gözyaşı dolu', ' Nasıl olsa sonu gelmeyecek mi', 'Her güzel şey gibi bitmeyecek mi', ' Bırakıp da beni gitmeyecek mi']"
,aski-bekle-diyor-kalbim,"['Aşkı bekle diyor ah kalbim', 'Sen de bir gün elbet seversin', 'Bir damlacık gözyaşının', ""Birisi sen biri o'dur"", ' Şafak vakti ve ya bir gece', 'Gelecek o sana gizlice', 'Söyleyecek yanan gözlerle', 'İnan sevmek işte budur', ' Sevmeyi bil, kederi sil', 'Korkma sakın, sakın yaşamaktan', 'Sevmeyi bil, kederi sil', 'Korkma sakın, sakın yaşamaktan', 'Anla, kaçılmaz bu aşktan', ' Bu şarkıyı söyleyeceksin', 'O pınardan hep içeceksin', 'Bir kuş gibi yuva düşünüp', 'Bulut bulut uçacaksın']"
,askimiz-eski-bir-roman,"['Kalbimde arama eski yerini', 'Sen gözümden akan sele karıştın', 'İstesem de artık sevemem seni', 'Hasret rüzgarına yele karıştın', ' Seninle aşkımız eski bir roman', 'Yandı sayfaları külüdür kalan', 'Sevgilim herşeyim sendin bir zaman', 'Ne yazık sonunda ele karıştın', ' Kırılan kalbim var dinmez bir kini', 'Ömrümce sürecek aşka yemini', 'Kavuşmak imkansız artık sevgilim', 'Dönüşü olmayan yola karıştın']"
,askin-icimde-bir-ruya,"['Aşkın içimde rüya', 'Kalbimde duya duya', 'Yalvarırım tanrıya', 'Bir daha gelsen diye', ' Kaybettim mi seni ben', 'Ayıramam kendimden', 'Bir ses var ki içimden', 'Haykırır sen sen diye', ' Göstermiyor aynalar', 'Beni artık ben diye', 'Söyleşir hatıralar', 'Nerde eski sen diye', ' Kaybettim mi seni ben', 'Ayıramam kendimden', 'Bir ses var ki içimden', 'Haykırır sen sen diye']"
,askin-ile-gunduz-gece-giryanim-efendim,"['Aşkın ile gündüz gece giryanım efendim', 'Bülbül ile ruyine hayranım efendim', 'Beyhude imiş eylediğim mihr-i vefalar', 'Ettiklerime şimdi pesimanim efendim', '']"
,askin-kanunu,"['Aşkın kanununu yazsam nereden', 'Kimi ümitleri yel alır gider', 'Kimi benim gibi sever gönülden', 'Kimi senin gibi el our gider', ' Dünyanın bir yazı bir kışı vardır', 'Her yolun bir sonu bir başı vardır', 'Her aşkın sonunda göz yaşı vardır', 'Akar damla damla sel olur gider', ' Boş yere bekleme geçen günleri', 'Böyledir ne yazık ki ezelden beri', 'Kimi benim gibi sever gönülden', 'Kimi senin gibi el olur gider']"
,askin-kurbaniyim,"['Aşkın kurbanıyım, gözlerim bağlı.', 'Önümü, ardımı göremiyorum.', 'Hasret kilitlemiş gönül kapımı,', 'Anahtarı sende giremiyorum.', ' Bahtım hep uyurken beni çağırmış,', 'Duymamış yüreğim, rüyaya dalmış.', 'Uzayıp özlemin göklere varmış,', 'Merdiveni sende, eremiyorum.', ' Gönlümde imzası zalim dertlerin,', 'Acılar ortağı oldu zevklerin.', 'Tapusu kaderde bütün sevgimin,', 'Kopartıp da sana veremiyorum.']"
,askin-sirri-bilinmez,"['Aşkın sırrı bilinmez', 'Arkasından gidilmez', 'Bu yoldan giden yolcu', 'Bir daha geri dönmez', ' Bu dünya yalancı bir dünyadır', 'Gözleri görmeyen aşık olandır', 'Gördüklerimiz hepsi hayaldir', 'Allahım bu yolcuyu uyandır', ' Açma gönlümdeki derin yarayı', 'İistemem tacı, tahtı ,sarayı', 'İşte bak geçiyor düğün alayı', 'Sen unut artık bu yalan dünyayı']"
,asktan-da-ustun,"['Dolarken gönlüme bir tatlı hüzün', 'Süsler hayalimi gül renkli yüzün', 'Seni sevmek bile yetmiyor bana', 'İçimde bir his var aşktan da üstün', ' Gözlerim doymuyor seni görmeye', 'Bir ömür yeter mi seni sevmeye', 'Kapadım kalbimi sensiz her şeye', 'İçimde bir his var aşktan da üstün', '']"
,avcumdaki-dua,"['Avucumdaki dua parmaklarımdan süzüldü', 'Sana mum yaktım içimden', 'Gene gözlerine gömüldüm', 'Mezarsız ölüler ölüsüz mezarlar', 'Defne yaprağında ayçiçeğinde seni bir ısırganda aradım', 'Her sabah karşı bayırdan doğdun her mehtapta üşüttün içimi', 'Gel bana dağların başı gel', 'Deli gönlümün deli yoldaşı gel', 'Pabucun bağsız saçların ıslak gel', 'Avuçlarında çile getir tırnaklarında nefret', 'Cebimdeki kini al..']"
,avuclarimda-hala-sicakligin-var,"['Avuçlarımda hala sıcaklığın', 'Sıcaklığın', 'Sıcaklığın var, inan.', ' ""Unuttum"" dese dilim; yalan.', 'Yalan.', 'Yalan.', 'Billahi yalan,', 'Vallahi yalan.', ' Hasretindir içimde', 'Hep alev', 'Hep alev', 'Hep alev alev yanan.', ' ""Unuttum"" dese dilim; yalan.', 'Yalan.', 'Yalan.', 'Vallahi yalan,', 'Billahi yalan.']"
,ayaginda-kundura,"['Ayağında kundura', 'Yar gelir dura dura', 'Ölürem ben ölürem vah', 'Genç ömrümü çürüttüm', ' Sineme vura vura', 'Ölürem ben ölürem', ' Ölürem ben ölürem', 'Nere gitsen gelirem', 'Ben bir yetim çocuğum', 'Arar seni bulurum']"
